Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
CRUDE OIL,31045,"GENESIS PIPELINE USA, L.P.",,,367.3,192.58,367,0,19,0,19
REFINED PP,38922,MIPC LLC,,,52.6,50.41,53,0,19,0,19
CRUDE OIL,39205,"DAPL-ETCO OPERATIONS MANAGEMENT, LLC",,,"1,917.10",950.64,1917,0,18,0,18
REFINED PP,2170,CENEX PIPELINE LLC,,,685.6,310.7,686,0,18,0,18
CRUDE OIL,39841,RED BUTTE PIPELINE LLC,0.3,0,329.7,90.6,330,81.2,16,0,16
CRUDE OIL,2387,CITGO PIPELINE CO,,,82.1,59.15,82,0,15,0,15
CRUDE OIL,39043,"TALLGRASS PONY EXPRESS PIPELINE, LLC",,,834.2,528.26,834,0,15,0,15
REFINED PP,32044,BP USFO/LOGISTICS,,,,,,,15,0,15
CRUDE OIL,1960,BUTTE PIPELINE CO,,,459,27,459,0,13,0,13
CRUDE OIL,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",150,53.76,300.1,180.46,450,320.8,13,0,13
REFINED PP,22430,WEST SHORE PIPELINE CO,,,614,405.36,614,0,13,0,13
CRUDE OIL,4906,EXXONMOBIL PIPELINE CO,219.1,96.03,444.9,277.7,664,0,12,6,18
CRUDE OIL,22610,"MAGELLAN PIPELINE COMPANY, LP",68.7,17.1,"1,225.80",246.09,1295,0,11,1,12
CRUDE OIL,26061,"DELEK CRUDE LOGISTICS, LLC.",289.2,79.19,142.9,7.88,432,0,11,15,26
REFINED PP,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,0.5,0.45,13.8,13.85,14,0,11,0,11
REFINED PP,30781,OLYMPIC PIPE LINE COMPANY,46.3,41.1,367,339.5,413,0,11,3,14
REFINED PP,31288,"FLINT HILLS RESOURCES PINE BEND, LLC",,,,,,,11,0,11
CRUDE OIL,31878,BRIDGER PIPELINE LLC,,,452,51,452,78,10,0,10
REFINED PP,18386,BP OIL PIPELINE CO,15.5,15.4,92.9,92.2,108,0,10,5,15
REFINED PP,19481,T & M TERMINAL CO,,,1.5,0,2,0,10,0,10
CRUDE OIL,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",28.4,0.16,186.4,85.32,215,67.5,9,0,9
CRUDE OIL,26149,ALYESKA PIPELINE SERVICE CO,,,800,382.4,800,0,9,0,9
CRUDE OIL,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",302.2,53.58,582.1,140.74,884,7.6,9,33,42
CRUDE OIL,32334,TC OIL PIPELINE OPERATIONS INC,,,"1,926.10",787.54,1926,0,9,0,9
CRUDE OIL,39654,ORYX DELAWARE OIL TRANSPORT LLC,10.7,0.11,70.2,7,81,0,9,0,9
HVL FLAMM TOXIC,22610,"MAGELLAN PIPELINE COMPANY, LP",,,653.8,214.93,654,0,8,0,8
CRUDE OIL,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,4.6,4.44,1.1,0.87,6,0,7,1,8
CRUDE OIL,10250,KIANTONE PIPELINE CORP,,,78.3,41.4,78,0,7,0,7
CRUDE OIL,31454,"NUSTAR LOGISTICS, L.P.",795.5,155.9,146.3,33.6,942,0,7,30,37
CRUDE OIL,31957,KINDER MORGAN WINK PIPELINE LLC,2,0,433,60,435,0,7,0,7
CRUDE OIL,39336,"BR PORT SERVICES, LLC",,,3.9,3.91,4,0,7,0,7
CRUDE OIL,39389,"GEL TEXAS PIPELINE, LLC",,,25.2,25.03,25,0,7,0,7
CRUDE OIL,39440,DOUBLE H,,,512.1,91.76,512,0,7,0,7
HVL FLAMM TOXIC,1845,"BUCKEYE PARTNERS, LP",16.7,16.74,16.1,12.12,33,0,7,15,22
REFINED PP,22830,WOLVERINE PIPELINE CO,,,948.7,513.89,949,0,7,0,7
REFINED PP,39105,VALERO PARTNERS OPERATING CO. LLC,34.2,32.82,181.4,123.3,216,0,7,17,24
CRUDE OIL,32532,"ENERGY XXI PIPELINE, LLC",6.5,0,304.8,11.29,311,6.1,6,0,6
REFINED PP,18678,ST LOUIS PIPELINE OPERATING LLC,,,21.8,21.82,22,0,6,0,6
REFINED PP,30909,TRANSMONTAIGNE OPERATING COMPANY L.P.,47.2,30.68,85,44.07,132,0,6,58,64
REFINED PP,32683,INLAND CORPORATION,,,600.5,273.29,601,0,6,0,6
CRUDE OIL,7660,HUNT CRUDE OIL SUPPLY CO,30.3,3.37,202.7,109.03,233,20.6,5,2,7
CRUDE OIL,32258,PEMBINA COCHIN LLC,,,"1,190.30",313.94,1190,0,5,0,5
CRUDE OIL,39084,"CRIMSON GULF, LLC",,,886.2,119.21,886,0,5,0,5
CRUDE OIL,39822,"SCM PR, LLC",,,146.6,0,147,0,5,0,5
REFINED PP,395,AMOCO OIL CO,,,"1,152.20",662.3,1152,0,5,0,5
REFINED PP,38887,IMTT EPIC LLC,17.1,11.62,73,14.17,90,0,5,3,8
